Ano,Mes,Venta_GNV_m3,Venta_GNV_Bs,Venta_Almacen,Total_Ingresos,Costo_GNV,Gastos_Operacion,Gastos_Admin,Gastos_CG,Impuestos,Total_Egresos,Resultado_Bs,Resultado_Dolar,Ganancia_m3,Inv_Inicial,Inv_Recuperada,Porcentaje recuperado
2020,12,113865,189015.9,104.66,189120.56,58110.87,47764.227,8208.08,35307.1,12713,162103.277,27017.283,3881.793534,0.237274694,500000,243384.8385,0.486769677
2021,1,75684,125635.44,30.66,125666.1,45304.11,46195.549,8197.91,1208.2,8951,109856.769,15809.331,2271.455603,0.208886039,500000,248957.5933,0.497915187
2021,2,61864,102694.24,76.65,102770.89,37401.34,44441.276,8208.78,5471.48,6446,101968.876,802.014,115.2318966,0.012964147,500000,249072.8252,0.49814565
2021,3,79750,132385,38.83,132423.83,48196.26,44720.12,8193.36,4744.1,10182,116035.84,16387.99,2354.596264,0.205492038,500000,251427.4214,0.502854843
2021,4,74129,123054.14,51.83,123105.97,42540.32,42802.7815,8148.91,4805.1,9039,107336.1115,15769.8585,2265.784267,0.212735346,500000,253693.2057,0.507386411
2021,5,85917,142622.22,39.66,142661.88,42238.44,44950.8445,8297.61,4054.2,12726,112267.0945,30394.7855,4367.066882,0.353769167,500000,258060.2732,0.516120546
2021,6,77399,128482.34,36,128518.34,41627.49,46768.4825,8551.41,1805.8,10698,109451.1825,19067.1575,2739.534124,0.246348887,500000,260799.8073,0.521599615
2021,7,85946,142670.36,71.98,142742.34,45215.55,43617.6375,8095.4,8358.6,12303,117590.1875,25152.1525,3613.815014,0.292650647,500000,264413.6224,0.528827245
2021,8,87684,145555.44,56.49,145611.93,54995.87,44160.261,7538.76,2172.2,10600,119467.091,26144.839,3756.442385,0.298171149,500000,268170.0647,0.536340129
2021,9,68754,114131.64,110.64,114242.28,41685.34,42107.7485,7616.9,3914,7362,102685.9885,11556.2915,1660.38671,0.168081733,500000,269830.4515,0.539660903
2021,10,56384,93597.44,53.99,93651.43,27864.53,42374.6,7576.67,6984.89,5993,90793.69,2857.74,410.5948276,0.050683527,500000,270290.1844,0.540580369
2021,11,59768,99214.88,67.66,99282.54,45796.36,38977.5985,7527.69,4116.7,5796,102214.3485,-2931.8085,-421.2368534,-0.049053147,500000,270290.1844,0.540580369
2021,12,65910,109410.6,41,109451.6,43003.89,41621.87,7584.31,14525.8,2743,109478.87,-27.27,-3.918103448,-0.000413746,500000,270290.1844,0.540580369
